Name,Lat,Lon,Cluster
GP_10354,31.75,91.25,7
GP_10355,31.75,91.75,7
GP_10356,31.75,92.0,7
GP_10357,31.75,92.25,7
GP_10358,31.75,92.5,7
GP_10359,31.75,92.75,7
GP_1036,56.75,124.75,2
GP_10360,31.75,93.0,7
GP_10361,31.75,93.25,7
GP_10362,31.75,93.5,7
GP_10363,31.75,93.75,7
GP_10364,31.75,94.0,7
GP_10365,31.75,94.25,7
GP_10366,31.75,94.5,7
GP_10367,31.75,94.75,7
GP_10368,31.75,95.0,7
GP_10369,31.75,95.25,7
GP_1037,55.75,109.5,2
GP_10370,31.75,95.5,7
GP_10371,31.75,95.75,7
GP_10372,31.75,96.0,7
GP_10373,31.75,96.25,7
GP_10374,31.75,96.5,7
GP_10375,31.75,96.75,7
GP_10376,31.75,97.0,7
GP_10377,31.75,97.25,7
GP_10378,31.75,97.5,7
GP_10379,31.75,97.75,7
GP_1038,55.5,113.5,2
GP_10380,31.75,98.25,7
GP_10381,31.75,98.5,7
GP_10382,31.75,98.75,7
GP_10383,31.75,99.0,7
GP_10384,31.75,99.25,7
GP_10385,31.75,99.5,7
GP_10386,31.75,99.75,7
GP_10387,31.75,100.0,7
GP_10388,31.75,100.25,7
GP_10389,31.75,100.5,7
GP_1039,55.25,113.25,2
GP_10390,31.75,100.75,7
GP_10391,31.75,101.0,7
GP_10392,31.75,101.25,7
GP_10393,31.75,101.5,7
GP_10394,31.75,101.75,7
GP_10395,31.75,102.0,7
GP_10396,31.75,102.25,7
GP_10397,31.75,102.5,7
GP_10398,31.75,102.75,7
GP_10399,31.75,103.0,7
GP_104,40.25,-115.5,10
GP_1040,55.0,116.75,2
GP_10400,31.75,103.25,7
GP_10401,31.75,103.5,7
GP_10402,31.75,103.75,7
GP_10403,31.75,104.0,7
GP_10404,31.5,80.75,5
GP_10405,31.5,81.0,5
GP_10406,31.5,81.25,5
GP_10407,31.5,81.5,5
GP_10408,31.5,81.75,5
GP_10409,31.5,82.0,5
GP_1041,55.75,117.25,2
GP_10410,31.5,82.25,5
GP_10411,31.5,82.5,5
GP_10412,31.5,82.75,5
GP_10413,31.5,83.0,5
GP_10414,31.5,83.25,5
GP_10415,31.5,83.5,5
GP_10416,31.5,83.75,5
GP_10417,31.5,84.0,5
GP_10418,31.5,84.25,5
GP_10419,31.5,84.5,5
GP_1042,56.0,125.0,2
GP_10420,31.5,84.75,5
GP_10421,31.5,85.0,5
GP_10422,31.5,85.5,5
GP_10423,31.5,85.75,5
GP_10424,31.5,86.0,5
GP_10425,31.5,86.25,5
GP_10426,31.5,86.5,5
GP_10427,31.5,86.75,5
GP_10428,31.5,87.0,5
GP_10429,31.5,87.25,5
GP_1043,55.25,124.75,2
GP_10430,31.5,87.5,5
GP_10431,31.5,87.75,5
GP_10432,31.5,88.0,5
GP_10433,31.5,88.25,5
GP_10434,31.5,88.5,5
GP_10435,31.5,88.75,5
GP_10436,31.5,89.0,5
GP_10437,31.5,90.0,5
GP_10438,31.5,90.75,7
GP_10439,31.5,91.0,7
GP_1044,54.5,100.75,2
GP_10440,31.5,91.25,7
GP_10441,31.5,91.75,7
GP_10442,31.5,92.0,7
GP_10443,31.5,92.25,7
GP_10444,31.5,92.5,7
GP_10445,31.5,92.75,7
GP_10446,31.5,93.0,7
GP_10447,31.5,93.25,7
GP_10448,31.5,93.5,7
GP_10449,31.5,93.75,7
GP_1045,54.25,100.0,2
GP_10450,31.5,94.0,7
GP_10451,31.5,94.25,7
GP_10452,31.5,94.5,7
GP_10453,31.5,94.75,7
GP_10454,31.5,95.0,7
GP_10455,31.5,95.25,7
GP_10456,31.5,95.5,7
GP_10457,31.5,95.75,7
GP_10458,31.5,96.0,7
GP_10459,31.5,96.25,7
GP_1046,54.25,103.0,2
GP_10460,31.5,96.5,7
GP_10461,31.5,96.75,7
GP_10462,31.5,97.0,7
GP_10463,31.5,97.25,7
GP_10464,31.5,97.5,7
GP_10465,31.5,97.75,7
GP_10466,31.5,98.25,7
GP_10467,31.5,98.5,7
GP_10468,31.5,98.75,7
GP_10469,31.5,99.0,7
GP_1047,54.5,113.5,2
GP_10470,31.5,99.25,7
GP_10471,31.5,99.5,7
GP_10472,31.5,99.75,7
GP_10473,31.5,100.0,7
GP_10474,31.5,100.25,7
GP_10475,31.5,100.5,7
GP_10476,31.5,100.75,7
GP_10477,31.5,101.0,7
GP_10478,31.5,101.25,7
GP_10479,31.5,101.5,7
GP_1048,54.5,113.25,2
GP_10480,31.5,101.75,7
GP_10481,31.5,102.0,7
GP_10482,31.5,102.25,7
GP_10483,31.5,102.5,7
GP_10484,31.5,102.75,7
GP_10485,31.5,103.0,7
GP_10486,31.5,103.25,7
GP_10487,31.5,103.5,7
GP_10488,31.5,103.75,7
GP_10489,31.5,104.0,7
GP_1049,54.5,120.0,2
GP_10490,31.5,104.5,7
GP_10491,31.5,107.0,7
GP_10492,31.25,81.5,5
GP_10493,31.25,81.75,5
